
# Curve 0 of 1, 1200 points
# Curve title: "Re ε_M"
# x y type
 28.3291  0.409417  i
 28.3563  0.411583  i
 28.3835  0.413599  i
 28.4107  0.41545  i
 28.4379  0.417157  i
 28.4651  0.418762  i
 28.4923  0.420316  i
 28.5196  0.421858  i
 28.5468  0.423399  i
 28.574  0.424918  i
 28.6012  0.426374  i
 28.6284  0.427719  i
 28.6556  0.42892  i
 28.6828  0.429962  i
 28.71  0.430858  i
 28.7372  0.431634  i
 28.7645  0.432323  i
 28.7917  0.432953  i
 28.8189  0.433537  i
 28.8461  0.434077  i
 28.8733  0.434561  i
 28.9005  0.434976  i
 28.9277  0.435321  i
 28.9549  0.435621  i
 28.9821  0.435932  i
 29.0094  0.436333  i
 29.0366  0.43691  i
 29.0638  0.43773  i
 29.091  0.438827  i
 29.1182  0.440196  i
 29.1454  0.441802  i
 29.1726  0.443593  i
 29.1998  0.445513  i
 29.2271  0.447516  i
 29.2543  0.449559  i
 29.2815  0.451608  i
 29.3087  0.453637  i
 29.3359  0.455626  i
 29.3631  0.457565  i
 29.3903  0.459451  i
 29.4175  0.46128  i
 29.4447  0.463041  i
 29.472  0.464707  i
 29.4992  0.466241  i
 29.5264  0.467598  i
 29.5536  0.468733  i
 29.5808  0.469615  i
 29.608  0.470224  i
 29.6352  0.470562  i
 29.6624  0.470653  i
 29.6896  0.470545  i
 29.7169  0.470301  i
 29.7441  0.469998  i
 29.7713  0.469711  i
 29.7985  0.469505  i
 29.8257  0.46943  i
 29.8529  0.469518  i
 29.8801  0.469789  i
 29.9073  0.470248  i
 29.9345  0.470892  i
 29.9618  0.471707  i
 29.989  0.472681  i
